=== Font Debug Output (PID: 84546) ===
Total fonts: 977

 174: Noto Sans Myanmar | /System/Library/Fonts/NotoSansMyanmar.ttc | idx=2 | Normal-800-FontStretch(1000)
 175: Noto Sans Myanmar | /System/Library/Fonts/NotoSansMyanmar.ttc | idx=3 | Normal-200-FontStretch(1000)
 176: Noto Sans Myanmar | /System/Library/Fonts/NotoSansMyanmar.ttc | idx=4 | Normal-300-FontStretch(1000)
 177: Noto Sans Myanmar | /System/Library/Fonts/NotoSansMyanmar.ttc | idx=5 | Normal-500-FontStretch(1000)
 178: Noto Sans Myanmar | /System/Library/Fonts/NotoSansMyanmar.ttc | idx=6 | Normal-400-FontStretch(1000)
 179: Noto Sans Myanmar | /System/Library/Fonts/NotoSansMyanmar.ttc | idx=7 | Normal-600-FontStretch(1000)
 180: Noto Sans Myanmar | /System/Library/Fonts/NotoSansMyanmar.ttc | idx=8 | Normal-100-FontStretch(1000)
 181: Noto Sans Zawgyi | /System/Library/Fonts/NotoSansMyanmar.ttc | idx=9 | Normal-900-FontStretch(1000)
 182: Noto Sans Zawgyi | /System/Library/Fonts/NotoSansMyanmar.ttc | idx=10 | Normal-700-FontStretch(1000)
 183: Noto Sans Zawgyi | /System/Library/Fonts/NotoSansMyanmar.ttc | idx=11 | Normal-800-FontStretch(1000)
 184: Noto Sans Zawgyi | /System/Library/Fonts/NotoSansMyanmar.ttc | idx=12 | Normal-200-FontStretch(1000)
 185: Noto Sans Zawgyi | /System/Library/Fonts/NotoSansMyanmar.ttc | idx=13 | Normal-300-FontStretch(1000)
 186: Noto Sans Zawgyi | /System/Library/Fonts/NotoSansMyanmar.ttc | idx=14 | Normal-500-FontStretch(1000)
 187: Noto Sans Zawgyi | /System/Library/Fonts/NotoSansMyanmar.ttc | idx=15 | Normal-400-FontStretch(1000)
 188: Noto Sans Zawgyi | /System/Library/Fonts/NotoSansMyanmar.ttc | idx=16 | Normal-600-FontStretch(1000)
 189: Noto Sans Zawgyi | /System/Library/Fonts/NotoSansMyanmar.ttc | idx=17 | Normal-100-FontStretch(1000)
 190: SF Armenian Rounded | /System/Library/Fonts/SFArmenianRounded.ttf | idx=0 | Normal-400-FontStretch(500)
